username,songTitle,artistName,rateScore,description
Milan,Bohemian Rhapsody,Queen,3,Te veel van het goede maar ik begrijp waarom mensen er zo dol op zijn. Niet voor mij weggelegd.
Elias,Creep,Radiohead,1,Dit lied zat niet in Sonic.
Mart,Creep,Radiohead,3,Mooie melancholische sfeer maar na een tijdje word ik er een beetje somber van. Goede muziek toch.
Emma,Creep,Radiohead,5,Dit nummer beschrijft precies hoe ik me soms voel. Zo herkenbaar en tegelijkertijd prachtig uitgewerkt.
Lena,Creep,Radiohead,4,Thom Yorkes stem geeft me kippenvel. Wat een indrukwekkend en emotioneel nummer dit is.
Tom,Creep,Radiohead,2,Te deprimerend voor mijn smaak. Ik word er echt niet vrolijk van en zet het snel door.
Yasmine,Creep,Radiohead,5,Een van de mooiste alternatieve rocknummers ooit gemaakt. Raakt me elke keer op een andere manier.
Noah,Creep,Radiohead,3,Goed nummer maar niet iets wat ik dagelijks wil horen. Daarvoor is de sfeer me toch te zwaar.
Julia,Creep,Radiohead,4,De opbouw van rustig en kwetsbaar naar intens en rauw is perfect uitgevoerd. Echt een klassieker.
Mart,Fix You,Coldplay,5,Dit nummer heeft me door een hele moeilijke periode heen geholpen. Dat vergeet ik nooit.
Sophie,Fix You,Coldplay,4,Prachtige tekst en een geweldige opbouw. Altijd goed voor een traantje als ik het hoor.
Lucas,Fix You,Coldplay,5,Fix You is het soort nummer waar je je helemaal in kunt verliezen. Elke noot klopt gewoon.
Emma,Fix You,Coldplay,4,Heel emotioneel en mooi gemaakt. Chris Martin schrijft echt de mooiste en meest eerlijke teksten.
Lena,Fix You,Coldplay,5,Dit nummer laat me altijd huilen en dat is op een heel goede manier. Een absoluut meesterwerk van Coldplay.
Daan,Fix You,Coldplay,3,Ik vind Coldplay soms iets te sentimenteel maar dit nummer is een uitzondering. Mooi gemaakt.
Milan,Fix You,Coldplay,4,De gitaar die aan het einde inzet geeft me kippenvel elke keer. Zo'n geweldige crescendo opgebouwd.
Sara,Fix You,Coldplay,5,Een van de weinige nummers die me elke keer opnieuw raakt ongeacht hoe vaak ik het al gehoord heb.
Tom,Fix You,Coldplay,4,Coldplay is niet altijd mijn ding maar dit nummer is gewoon perfect van opbouw tot tekst tot gevoel.
Yasmine,Fix You,Coldplay,3,Mooi nummer maar het is inmiddels wel een beetje overgespeeld op de radio naar mijn smaak.
Yasmine,Rolling in the Deep,Adele,4,Adele's stem is gewoon fenomenaal en dit nummer laat dat op de beste manier ooit zien.
Elias,Rolling in the Deep,Adele,1, Dit nummer zat niet in Sonic.
Sophie,Rolling in the Deep,Adele,5,De kracht en controle in Adele's stem is ongelooflijk. Dit nummer is gewoon te goed voor woorden.
Lucas,Rolling in the Deep,Adele,4,Sterke productie en een ongelooflijke zangprestatie. Adele zet hier echt de standaard.
Emma,Rolling in the Deep,Adele,3,Goed nummer maar ik heb het inmiddels wel een miljoen keer gehoord op de radio. Even pauze.
Noah,Rolling in the Deep,Adele,4,Adele weet gewoon hoe ze iemand raakt. Dit nummer is echt bijzonder sterk van begin tot eind.
Lena,Rolling in the Deep,Adele,5,Zoveel energie en passie in dit nummer. Adele is en blijft een absoluut muzikaal fenomeen.
Milan,Rolling in the Deep,Adele,4,Geweldig refrein en een supersterke zangprestatie. Adele maakt het simpelweg verschil.
Julia,Rolling in the Deep,Adele,5,Een van de sterkste debuutsingle's die ik ooit gehoord heb. Meteen duidelijk dat dit een grote ster zou worden.
Tom,Rolling in the Deep,Adele,3,Adele kan zingen dat is overduidelijk maar dit nummer is voor mij net iets te overweldigend en druk.
Mart,Shape of You,Ed Sheeran,3,Catchy maar na de duizendste keer op de radio ben ik er eerlijk gezegd wel een beetje klaar mee.
Elias,Shape of You,Ed Sheeran,1, Dit nummer zat niet in Sonic.
Sophie,Shape of You,Ed Sheeran,4,Heerlijk dansbaar nummer dat altijd goed werkt op een feestje. Vrolijk en lekker in het gehoor.
Lucas,Shape of You,Ed Sheeran,5,Ed Sheeran weet precies hoe hij een hit maakt. Dit nummer is van begin tot eind goed in elkaar gezet.
Emma,Shape of You,Ed Sheeran,4,Lekker in het gehoor liggend en gewoon een goed popnummer. Niet te diep maar wel erg leuk.
Noah,Shape of You,Ed Sheeran,3,Prima nummer maar echt origineel of vernieuwend is het niet te noemen. Gewoon een goede pop-formule.
Lena,Shape of You,Ed Sheeran,4,Ik kan er niks aan doen maar ik zing altijd mee zodra dit nummer opkomt. Heerlijk catchy.
Milan,Shape of You,Ed Sheeran,2,Veel te overgespeeld en eigenlijk best oppervlakkig als je er goed naar luistert.
Sara,Shape of You,Ed Sheeran,5,Gewoon een geweldig nummer dat altijd voor een goed gevoel zorgt. Zo simpel maar zo effectief.
Daan,Shape of You,Ed Sheeran,3,Goed gemaakt maar het mist een beetje diepgang. Ed Sheeran kan echt meer dan dit.
Julia,Shape of You,Ed Sheeran,4,Ed Sheeran heeft gewoon talent en dit nummer bewijst dat. Simpel maar zeer effectief ingezet.
Tom,Shape of You,Ed Sheeran,5,Een van mijn favoriete popliedjes van de afgelopen jaren. Gewoon lekker en vrolijk en dat mag ook.
Michael,Thriller,Michael Jackson,5,Ik heb dit nummer zelf geschreven en de choreografie kostte me weken maar elke seconde was het waard. Dit is mijn grootste kunstwerk.
Elias,Thriller,Michael Jackson,5,Vond ik eng. Ik wil het nog een keer horen.
Mart,Thriller,Michael Jackson,4,Een van de meest iconische nummers aller tijden. Die intro en het verhaal erin zijn gewoon geniaal bedacht.
Sophie,Thriller,Michael Jackson,5,Thriller is gewoon ongekend. Niemand maakt ooit meer zoiets. Michael was ver voor zijn tijd.
Lucas,Thriller,Michael Jackson,4,De productie is zo goed dat je echt meegezogen wordt in de sfeer. Een nummer dat zijn tijd ver vooruit was.
Yasmine,Thriller,Michael Jackson,5,Michael Jackson was een genie en Thriller bewijst dat met elke noot en elke seconde.
Sara,Thriller,Michael Jackson,4,Zo tijdloos dit nummer. Ik heb het al honderden keren gehoord maar het blijft altijd boeien.
Michael,Billie Jean,Michael Jackson,5,Dit nummer schreef ik over een obsessieve fan. Het basloopje bedacht ik op één avond en ik wist meteen dat dit iets groots zou worden.
Elias,Billie Jean,Michael Jackson,1, Dit nummer zat niet in Sonic.
Mart,Billie Jean,Michael Jackson,5,Billie Jean is misschien wel het beste popnummer ooit gemaakt. Die groove is verslavend.
Emma,Billie Jean,Michael Jackson,4,Zo'n groovy nummer dat ik er gewoon niet stil bij kan zitten. Altijd zin in als het opkomt.
Daan,Billie Jean,Michael Jackson,4,Die intro met de drums en de bas is een van de meest herkenbare combinaties in de muziekgeschiedenis.
Tom,Billie Jean,Michael Jackson,5,Michael Jackson op zijn allerbest. Dit nummer is gewoon perfect en zal nooit verouderen.
Michael,Beat It,Michael Jackson,5,Eddie Van Halen speelde die gitaarsolo en ik weet nog hoe blij ik was toen ik het hoorde voor het eerst. Pure magie.
Sophie,Beat It,Michael Jackson,4,Een geweldige rockzijde van Michael Jackson die je echt niet verwacht maar die zo ontzettend goed werkt.
Noah,Beat It,Michael Jackson,5,Die gitaarsolo van Eddie Van Halen is legendarisch. Wat een geweldige samenwerking is dat geweest.
Milan,Beat It,Michael Jackson,4,Beat It laat mooi zien hoe veelzijdig Michael Jackson was als artiest. Van funk naar rock zonder moeite.
Julia,Beat It,Michael Jackson,3,Goed nummer maar niet mijn persoonlijke favoriet van Michael Jackson. De rest van Thriller vind ik sterker.
Mart,Comfortably Numb,Pink Floyd,5,De gitaarsolo van Gilmour aan het einde is de mooiste die ik ooit gehoord heb. Een religieuze ervaring.
Elias,Comfortably Numb,Pink Floyd,1, Dit nummer zat niet in Sonic.
Daan,Comfortably Numb,Pink Floyd,5,Dit nummer heeft een emotionele diepgang die de meeste hedendaagse artiesten nooit zullen bereiken.
Tom,Comfortably Numb,Pink Floyd,4,Comfortably Numb is een volledige muzikale reis van begin tot eind. Zelden hoor je zoiets.
Lucas,Comfortably Numb,Pink Floyd,5,De tekst en de muziek vullen elkaar zo perfect aan. Pink Floyd was op een heel ander niveau bezig.
Mart,Heroes,David Bowie,5,David Bowie wist iets te maken dat groter voelt dan muziek alleen. Dit nummer is een statement van hoop.
Sara,Heroes,David Bowie,4,Een tijdloos nummer met een krachtige boodschap die vandaag de dag nog steeds relevant is.
Julia,Heroes,David Bowie,4,Dit nummer klinkt net zo fris als altijd. Bowie was echt een bijzonder en uniek artiest.
Yasmine,Like a Prayer,Madonna,4,Madonna op haar sterkst. Dit nummer heeft zoveel energie passie en lef. Nooit meer zo gedurfd.
Emma,Like a Prayer,Madonna,3,Goed nummer maar ik heb er nooit echt een diepe persoonlijke connectie mee gehad eerlijk gezegd.
Lena,Like a Prayer,Madonna,5,Dit nummer is zo krachtig en uitgesproken. Madonna wist precies hoe ze indruk moest maken op de wereld.
Sophie,Here Comes the Sun,The Beatles,5,Dit nummer geeft me altijd een warm en blij gevoel vanbinnen. Simpelweg een van de mooiste liedjes ooit.
Mart,Here Comes the Sun,The Beatles,4,Harrison's beste nummer van ver. Zo'n heerlijk optimistisch en hoopvol gevoel straalt er vanaf.
Lena,Here Comes the Sun,The Beatles,5,Als je dit nummer hoort word je gewoon blij en dat is precies wat goede muziek moet doen.
Daan,Here Comes the Sun,The Beatles,3,Leuk nummer maar eerlijk gezegd een beetje te zoetsappig voor mijn persoonlijke smaak.
Tom,We Will Rock You,Queen,5,Simpel maar geniaal. Dit nummer is een echte stadionhymne die altijd kippenvel geeft in een grote zaal.
Milan,We Will Rock You,Queen,4,Het stampen en klap-ritme is zo eenvoudig en toch zo ongelooflijk effectief. Geniaal in zijn eenvoud.
Noah,We Will Rock You,Queen,4,Queen wist echt hoe ze een heel publiek moesten meekrijgen en dit nummer is daar het perfecte bewijs van.
Sara,We Will Rock You,Queen,3,Goed als opwarmer in een concert maar als losstaand nummer vind ik het eigenlijk iets te kort en kaal.
Michael,Rock with You,Michael Jackson,5,Dit was een van mijn lievelingsnummers om live te spelen. De energie die ik op het podium voelde bij dit nummer was onbeschrijfelijk mooi.
Emma,Rock with You,Michael Jackson,4,Zo'n heerlijk disco-nummer om op te dansen. Michael Jackson wist gewoon hoe je mensen laat bewegen.
Noah,Rock with You,Michael Jackson,3,Leuk en lekker dansnummer maar niet mijn persoonlijke favoriet van zijn hele discografie.
Michael,Ben,Michael Jackson,5,Dit nummer zong ik toen ik nog maar een kind was. Het gaat over een rat maar voor mij stond het altijd symbool voor echte en ware vriendschap.
Yasmine,Ben,Michael Jackson,3,Schattig nummer van de jonge Michael maar een beetje vreemd als je weet dat het over een rat gaat.
Michael,Off the Wall,Michael Jackson,5,Off the Wall was het album waarop ik liet zien wie ik echt was als soloartiest. Dit titelnummer geeft precies de vrolijke en vrije energie weer die ik altijd heb gevoeld.
